name,salary,season,team,shoots,height_cm,weight_kg
Al Thornton,1776240,2009,Los Angeles Clippers,Right,203.2,99.88
Al Thornton,1900200,2010,Washington Wizards,Right,203.2,99.88
Al Thornton,2814196,2011,Washington Wizards,Right,203.2,99.88
Al-Farouq Aminu,2563320,2011,Los Angeles Clippers,Right,205.74,97.61
Al-Farouq Aminu,2755560,2012,New Orleans Hornets,Right,205.74,97.61
Al-Farouq Aminu,2947800,2013,New Orleans Hornets,Right,205.74,97.61
Al-Farouq Aminu,3700000,2014,New Orleans Pelicans,Right,205.74,97.61
Al-Farouq Aminu,981084,2015,Dallas Mavericks,Right,205.74,97.61
Al-Farouq Aminu,7500000,2016,Portland Trail Blazers,Right,205.74,97.61
Al-Farouq Aminu,7680965,2017,Portland Trail Blazers,Right,205.74,97.61
Al-Farouq Aminu,7319035,2018,Portland Trail Blazers,Right,205.74,97.61
Alan Anderson,398762,2006,Charlotte Bobcats,Right,198.12,99.88
Alan Anderson,102131,2007,Charlotte Bobcats,Right,198.12,99.88
Alan Anderson,885120,2013,Toronto Raptors,Right,198.12,99.88
Alan Anderson,947907,2014,Brooklyn Nets,Right,198.12,99.88
Alan Anderson,1276061,2015,Brooklyn Nets,Right,198.12,99.88
Alan Anderson,4000000,2016,Washington Wizards,Right,198.12,99.88
Alan Anderson,1315448,2017,Los Angeles Clippers,Right,198.12,99.88
Alan Henderson,5318437,2000,Atlanta Hawks,Right,205.74,106.69
Alan Henderson,5910000,2001,Atlanta Hawks,Right,205.74,106.69
Alan Henderson,6500312,2002,Atlanta Hawks,Right,205.74,106.69
Alan Henderson,7091250,2003,Atlanta Hawks,Right,205.74,106.69
Alan Henderson,7682188,2004,Atlanta Hawks,Right,205.74,106.69
Alan Henderson,8273125,2005,Dallas Mavericks,Right,205.74,106.69
Alan Henderson,1138500,2006,Cleveland Cavaliers,Right,205.74,106.69
Alan Henderson,1178348,2007,Utah Jazz,Right,205.74,106.69
Alando Tucker,931920,2008,Phoenix Suns,Right,198.12,93.07
Alando Tucker,1001880,2009,Phoenix Suns,Right,198.12,93.07
