name,shoots,height_cm,weight_kg
Chris Kaman,Right,213.36,121.672
Chris McCray,Right,195.58,87.168
Chris Mihm,Right,213.36,120.31
Chris Mills,Right,198.12,97.61
Chris Mullin,Left,198.12,90.8
Chris Owens,Right,200.66,111.23
Chris Paul,Right,182.88,79.45
Chris Porter,Right,200.66,98.972
Chris Quinn,Right,187.96,83.99
Chris Richard,Right,205.74,122.58
Chris Singleton,Right,203.2,104.42
Chris Smith,Right,187.96,90.8
Chris Smith,Right,187.96,90.8
Chris Taft,Right,208.28,118.04
Chris Webber,Right,205.74,111.23
Chris Whitney,Right,182.88,76.272
Chris Wilcox,Right,208.28,100.334
Chris Wright,Right,203.2,102.604
Chris Wright,Right,203.2,102.604
Christian Eyenga,Right,195.58,95.34
Christian Laettner,Right,210.82,106.69
Christian Wood,Right,210.82,99.88
Chuck Hayes,Right,198.12,108.96
Chuck Person,Right,203.2,99.88
Chucky Atkins,Right,180.34,72.64
Chucky Brown,Right,200.66,97.156
Clarence Weatherspoon,Right,198.12,108.96
Cleanthony Early,Right,203.2,95.34
Clifford Robinson,Right,208.28,102.15
Clint Capela,Right,208.28,108.96
Coby Karl,Right,195.58,97.61
Cody Zeller,Right,213.36,108.96
Cole Aldrich,Right,210.82,111.23
Corey Benjamin,Right,198.12,90.8
Corey Brewer,Right,205.74,83.99
Corey Maggette,Right,198.12,98.972
Corie Blount,Right,205.74,108.96
Corliss Williamson,Right,200.66,111.23
Corsley Edwards,Right,205.74,124.85
Cory Alexander,Right,185.42,83.99
Cory Higgins,Right,195.58,81.72
Cory Jefferson,Right,205.74,98.972
Cory Joseph,Right,190.5,83.99
Courtney Alexander,Right,195.58,93.07
Courtney Fortson,Left,180.34,83.99
Courtney Lee,Right,195.58,90.8
Courtney Sims,Right,208.28,111.23
Craig Brackins,Right,208.28,104.42
Craig Smith,Right,200.66,113.5
Cristiano Felicio,Right,208.28,124.85
Curtis Borchardt,Right,213.36,108.96
Cuttino Mobley,Left,193.04,86.26
D'Angelo Russell,Left,195.58,88.53
D.J. Augustin,Right,182.88,81.72
D.J. Kennedy,Left,198.12,97.61
D.J. Stephens,Right,195.58,85.352
D.J. Strawberry,Right,195.58,91.254
D.J. White,Right,205.74,113.954
Daequan Cook,Right,195.58,93.07
Dahntay Jones,Right,198.12,95.34
DaJuan Summers,Right,203.2,108.96
Dajuan Wagner,Right,187.96,90.8
Dale Davis,Right,210.82,104.42
Dale Ellis,Right,200.66,93.07
Dalibor Bagaric,Right,215.9,115.77
Damian Lillard,Right,190.5,88.53
Damien Inglis,Right,203.2,111.684
Damien Wilkins,Right,198.12,102.15
Damion James,Right,200.66,102.15
Damir Markota,Right,208.28,102.15
Damjan Rudez,Right,208.28,103.512
Damon Jones,Right,190.5,83.99
Damon Stoudamire,Left,177.8,77.634
Damone Brown,Right,205.74,90.8
Dan Dickau,Right,182.88,86.26
Dan Gadzuric,Right,210.82,108.96
Dan Langhi,Right,210.82,99.88
Dan Majerle,Right,198.12,97.61
Dan McClintock,Right,213.36,122.58
Dana Barros,Right,180.34,74.002
Daniel Ewing,Right,190.5,83.99
Daniel Gibson,Right,187.96,86.26
Daniel Orton,Right,208.28,115.77
Daniel Santiago,Right,215.9,116.224
Danilo Gallinari,Right,208.28,102.15
Danny Ferry,Right,208.28,104.42
Danny Fortson,Right,200.66,118.04
Danny Granger,Right,205.74,100.788
Danny Green,Right,198.12,95.34
Danny Manning,Right,208.28,104.42
Dante Cunningham,Right,203.2,104.42
Dante Exum,Right,198.12,86.26
Darington Hobson,Left,200.66,95.34
Darius Johnson-Odom,Left,187.96,97.61
Darius Miles,Right,205.74,95.34
Darius Miller,Right,203.2,106.69
Darius Morris,Right,193.04,86.26
Darius Songaila,Right,205.74,112.592
Darius Washington,Right,187.96,88.53
Darko Milicic,Left,213.36,113.5
Darnell Jackson,Right,205.74,114.862
Darrell Armstrong,Right,182.88,77.18
Darrell Arthur,Right,205.74,102.15
Darren Collison,Right,182.88,72.64
Darrick Martin,Left,180.34,77.18
Darryl Watkins,Right,210.82,117.132
Darvin Ham,Right,200.66,99.88
David Andersen,Right,210.82,111.23
David Benoit,Right,203.2,99.88
David Harrison,Right,213.36,127.12
David Lee,Right,205.74,113.046
David Lee,Left,205.74,113.046
David Noel,Right,198.12,104.42
David Robinson,Left,215.9,106.69
David Stockton,Right,180.34,74.91
David Vanterpool,Right,195.58,90.8
David Wear,Right,208.28,104.42
David Wesley,Right,182.88,86.26
David West,Right,205.74,108.96
David Wingate,Right,195.58,83.99
Dean Garrett,Right,208.28,102.15
Dean Oliver,Left,180.34,81.72
DeAndre Jordan,Left,210.82,113.5
DeAndre Liggins,Right,198.12,94.886
Dedric Willoughby,Right,190.5,81.72
Dee Brown,Right,185.42,72.64
Dee Brown,Right,185.42,72.64
DeJuan Blair,Right,200.66,120.31
Dell Curry,Right,193.04,86.26
Delon Wright,Right,195.58,86.26
Delonte West,Left,193.04,81.72
DeMar DeRozan,Right,200.66,99.88
DeMarco Johnson,Right,205.74,111.23
DeMarcus Cousins,Right,210.82,122.58
DeMarcus Nelson,Right,193.04,90.8
DeMarre Carroll,Right,203.2,96.248
