name,shoots,height_cm,weight_kg
Terrel Harris,Right,195.58,86.26
Terrell Brandon,Right,180.34,81.72
Terrence Jones,Left,205.74,114.408
Terrence Ross,Right,200.66,88.53
Terrence Williams,Right,198.12,99.88
Terry Cummings,Right,205.74,99.88
Terry Davis,Left,205.74,102.15
Terry Mills,Right,208.28,104.42
Terry Porter,Right,190.5,88.53
Terry Rozier,Right,187.96,86.26
Thabo Sefolosha,Right,195.58,97.61
Thaddeus Young,Left,203.2,99.88
Theo Ratliff,Right,208.28,102.15
Theron Smith,Right,203.2,102.15
Thomas Gardner,Right,195.58,102.15
Thomas Hamilton,Right,218.44,149.82
Thomas Robinson,Right,205.74,108.96
Tiago Splitter,Right,210.82,105.328
Tibor Pleiss,Right,220.98,116.224
Tierre Brown,Right,187.96,85.806
Tim Duncan,Right,210.82,112.592
Tim Frazier,Right,185.42,77.18
Tim Hardaway,Right,182.88,79.45
Tim James,Right,200.66,96.248
Tim Legler,Right,193.04,90.8
Tim Ohlbrecht,Right,210.82,115.77
Tim Thomas,Right,208.28,104.42
Tim Young,Right,213.36,99.88
Timofey Mozgov,Right,215.9,113.5
Tito Maddox,Right,193.04,86.26
Tobias Harris,Right,203.2,102.604
Toby Bailey,Right,198.12,96.702
Todd Day,Right,198.12,85.352
Todd Fuller,Left,210.82,115.77
Todd MacCulloch,Right,213.36,127.12
Tom Gugliotta,Right,208.28,108.96
Tom Hammonds,Right,205.74,97.61
Toney Douglas,Right,187.96,86.26
Toni Kukoc,Left,208.28,87.168
Tony Allen,Right,193.04,96.702
Tony Battie,Right,210.82,104.42
Tony Bobbitt,Right,193.04,86.26
Tony Delk,Right,185.42,85.806
Tony Farmer,Right,205.74,110.776
Tony Massenburg,Right,205.74,99.88
Tony Mitchell,Right,203.2,106.69
Tony Mitchell,Right,203.2,106.69
Tony Parker,Right,187.96,81.72
Tony Smith,Right,190.5,83.99
Tony Snell,Right,200.66,90.8
Tony Wroten,Left,198.12,93.07
Tornike Shengelia,Right,205.74,98.518
Torraye Braggs,Right,203.2,111.23
Toure' Murry,Right,195.58,88.53
Tracy McGrady,Right,203.2,95.34
Tracy Murray,Right,200.66,102.15
Trajan Langdon,Right,190.5,89.438
Travis Best,Left,180.34,82.628
Travis Diener,Right,185.42,79.45
Travis Hansen,Right,198.12,93.07
Travis Knight,Right,213.36,106.69
Travis Leslie,Right,193.04,93.07
Travis Outlaw,Right,205.74,95.34
Travis Wear,Right,208.28,104.42
Tremaine Fowlkes,Right,203.2,99.88
Trenton Hassell,Right,195.58,90.8
Trevor Ariza,Right,203.2,90.8
Trevor Booker,Left,200.66,108.96
Trey Burke,Right,185.42,83.99
Trey Gilder,Right,205.74,83.99
Trey Johnson,Right,195.58,98.972
Trey Lyles,Right,208.28,106.236
Trey Thompkins,Right,208.28,111.23
Tristan Thompson,Left Right,203.2,102.15
Troy Bell,Right,185.42,81.72
Troy Daniels,Right,193.04,90.8
Troy Hudson,Right,185.42,77.18
Troy Murphy,Left,210.82,111.23
Ty Lawson,Right,180.34,88.53
Tyler Ennis,Right,190.5,88.076
Tyler Hansbrough,Right,205.74,113.5
Tyler Honeycutt,Right,203.2,85.352
Tyler Johnson,Left,193.04,84.444
Tyler Zeller,Right,213.36,113.5
Tyreke Evans,Right,198.12,99.88
Tyrone Corbin,Right,198.12,95.34
Tyrone Hill,Right,205.74,108.96
Tyrone Nesby,Right,198.12,102.15
Tyronn Lue,Right,182.88,79.45
Tyrus Thomas,Right,205.74,97.61
Tyshawn Taylor,Right,190.5,83.99
Tyson Chandler,Right,215.9,106.69
Tyus Edney,Right,177.8,69.008
Udonis Haslem,Right,203.2,104.42
Uros Slokar,Left,208.28,108.052
Vander Blue,Right,193.04,90.8
Vassilis Spanoulis,Right,193.04,88.53
Vernon Macklin,Right,208.28,103.058
Vernon Maxwell,Right,193.04,81.72
Viacheslav Kravtsov,Right,213.36,118.04
Victor Alexander,Right,205.74,120.31
Victor Claver,Right,205.74,101.696
Victor Oladipo,Right,193.04,95.34
Viktor Khryapa,Right,205.74,95.34
Vin Baker,Right,210.82,105.328
Vince Carter,Right,198.12,97.61
Vincent Yarbrough,Right,200.66,95.34
Vinny Del Negro,Right,193.04,83.99
Vitaly Potapenko,Right,208.28,127.12
Vitor Faverani,Right,210.82,118.04
Vlade Divac,Right,215.9,110.322
Vladimir Radmanovic,Right,208.28,103.058
Vladimir Stepania,Right,213.36,107.144
Von Wafer,Right,195.58,95.34
Vonteego Cummings,Right,190.5,83.99
Voshon Lenard,Right,193.04,93.07
Walker Russell,Right,182.88,77.18
Walker Russell,Right,182.88,77.18
Wally Szczerbiak,Right,200.66,110.776
Walt Williams,Right,203.2,99.426
Walter Herrmann,Right,205.74,102.15
Walter McCarty,Right,208.28,104.42
Walter Sharpe,Right,205.74,111.23
Wang Zhizhi,Left,213.36,115.77
Wayne Ellington,Right,193.04,90.8
Wayne Simien,Right,205.74,115.77
Wayne Turner,Right,187.96,86.26
Wesley Johnson,Right,200.66,93.07
Wesley Matthews,Right,195.58,99.88
Wesley Person,Right,198.12,88.53
Will Barton,Right,198.12,78.996
Will Blalock,Right,182.88,93.07
Will Bynum,Right,182.88,83.99
Will Cherry,Right,182.88,83.99
Will Conroy,Right,187.96,88.53
Will Perdue,Right,213.36,108.96
Will Solomon,Right,185.42,83.99
William Avery,Right,187.96,89.438
Willie Cauley-Stein,Right,213.36,108.96
Willie Green,Right,193.04,90.8
Willie Warren,Right,193.04,92.162
Wilson Chandler,Right,203.2,99.88
Xavier Henry,Left,198.12,99.88
Xavier Silas,Right,195.58,93.07
Yakhouba Diawara,Right,200.66,102.15
Yao Ming,Right,228.6,140.74
Yaroslav Korolev,Right,205.74,92.162
Yi Jianlian,Right,213.36,108.052
Yuta Tabuse,Right,175.26,74.91
Zabian Dowdell,Right,190.5,86.714
Zach LaVine,Right,195.58,85.806
Zach Randolph,Left,205.74,114.862
Zan Tabak,Right,213.36,111.23
Zarko Cabarkapa,Right,210.82,106.69
Zaza Pachulia,Right,210.82,108.96
Zeljko Rebraca,Right,213.36,116.678
Zendon Hamilton,Left,210.82,113.5
Zoran Dragic,Left,195.58,90.8
Zoran Planinic,Right,200.66,88.53
Zydrunas Ilgauskas,Right,220.98,108.052
