state,team,draft_year
Oregon,Cleveland Cavaliers,2004
Saint Joseph's University,Denver Nuggets,2004
"Rutgers University, Manhattan College",Houston Rockets,2004
Colorado,Indiana Pacers,2004
Ohio,Los Angeles Clippers,2004
"California, Fullerton",Miami Heat,2004
Tennessee,Miami Heat,2004
"California, Los Angeles",New York Knicks,2004
Tennessee,Orlando Magic,2004
Arizona,Philadelphia 76ers,2004
North Carolina,Phoenix Suns,2004
Western Carolina University,Sacramento Kings,2004
Texas,Seattle SuperSonics,2004
Brigham Young University,Toronto Raptors,2004
Minnesota,Utah Jazz,2004
"Nevada, Reno",Utah Jazz,2004
Wisconsin,Washington Wizards,2004
Arizona,Atlanta Hawks,2005
North Carolina,Atlanta Hawks,2005
Providence College,Boston Celtics,2005
"Florida, University of Louisiana at Lafayette",Boston Celtics,2005
North Carolina,Charlotte Bobcats,2005
North Carolina,Charlotte Bobcats,2005
Georgia Institute of Technology,Denver Nuggets,2005
North Carolina,Denver Nuggets,2005
Pepperdine University,Detroit Pistons,2005
Ohio,Detroit Pistons,2005
Arizona,Golden State Warriors,2005
Pennsylvania,Golden State Warriors,2005
Illinois,Houston Rockets,2005
"Bradley University, University of New Mexico",Indiana Pacers,2005
North Carolina,Los Angeles Clippers,2005
Florida,Los Angeles Lakers,2005
Washington,Los Angeles Lakers,2005
New York,Memphis Grizzlies,2005
Kansas,Miami Heat,2005
Utah,Milwaukee Bucks,2005
Indiana,Minnesota Timberwolves,2005
North Carolina,Minnesota Timberwolves,2005
Texas A&M University,New Jersey Nets,2005
Louisiana,New Orleans Hornets,2005
Wake Forest University,New Orleans Hornets,2005
Arizona,New York Knicks,2005
"California, Los Angeles",New York Knicks,2005
Florida,New York Knicks,2005
Marquette University,Orlando Magic,2005
Washington,Phoenix Suns,2005
University of Missouri,Portland Trail Blazers,2005
Kentucky,Sacramento Kings,2005
"Baylor University, Mississippi",Seattle SuperSonics,2005
"University of Central Florida, Oklahoma",Toronto Raptors,2005
Connecticut,Toronto Raptors,2005
"Barton County Community College, Ohio, Walsh University",Utah Jazz,2005
Illinois,Utah Jazz,2005
North Carolina,Atlanta Hawks,2006
Florida,Atlanta Hawks,2006
Villanova University,Boston Celtics,2006
Washington,Charlotte Bobcats,2006
"California, Los Angeles",Charlotte Bobcats,2006
Tennessee,Chicago Bulls,2006
Texas,Chicago Bulls,2006
Michigan,Cleveland Cavaliers,2006
Texas,Cleveland Cavaliers,2006
Michigan,Dallas Mavericks,2006
California,Denver Nuggets,2006
Iowa,Detroit Pistons,2006
Bradley University,Golden State Warriors,2006
Marquette University,Houston Rockets,2006
Connecticut,Houston Rockets,2006
Florida,Indiana Pacers,2006
Tennessee,Indiana Pacers,2006
Michigan,Los Angeles Clippers,2006
Florida,Los Angeles Clippers,2006
"California, Los Angeles",Los Angeles Lakers,2006
Villanova University,Memphis Grizzlies,2006
North Carolina,Milwaukee Bucks,2006
Boston College,Minnesota Timberwolves,2006
Washington,Minnesota Timberwolves,2006
Washington,Minnesota Timberwolves,2006
Arizona,New Jersey Nets,2006
Connecticut,New Jersey Nets,2006
Connecticut,New Jersey Nets,2006
North Carolina,New Orleans/Oklahoma City Hornets,2006
Connecticut,New Orleans/Oklahoma City Hornets,2006
Temple University,New York Knicks,2006
University of South Carolina,New York Knicks,2006
North Carolina,Orlando Magic,2006
Illinois,Orlando Magic,2006
Kentucky,Phoenix Suns,2006
Louisiana,Portland Trail Blazers,2006
"Florida, Ohio",Portland Trail Blazers,2006
Rutgers University,Sacramento Kings,2006
Texas,Toronto Raptors,2006
Louisiana Tech University,Utah Jazz,2006
Arkansas,Utah Jazz,2006
Illinois,Utah Jazz,2006
Texas A&M University,Atlanta Hawks,2007
Florida,Atlanta Hawks,2007
Georgetown University,Boston Celtics,2007
California,Boston Celtics,2007
Boston College,Charlotte Bobcats,2007
North Carolina,Charlotte Bobcats,2007
Oklahoma,Chicago Bulls,2007
Florida,Chicago Bulls,2007
Pennsylvania,Chicago Bulls,2007
"Nevada, Reno",Dallas Mavericks,2007
Eastern Washington University,Detroit Pistons,2007
"California, Los Angeles",Detroit Pistons,2007
Alabama,Golden State Warriors,2007
University of Massachusetts Amherst,Golden State Warriors,2007
Oregon,Houston Rockets,2007
Florida,Los Angeles Clippers,2007
Georgia Institute of Technology,Los Angeles Lakers,2007
Ohio,Memphis Grizzlies,2007
Colorado State University,Miami Heat,2007
"Nevada, Reno",Milwaukee Bucks,2007
Florida,Minnesota Timberwolves,2007
Florida,Minnesota Timberwolves,2007
Boston College,New Jersey Nets,2007
Kansas,New Orleans/Oklahoma City Hornets,2007
DePaul University,New York Knicks,2007
Georgia Institute of Technology,Philadelphia 76ers,2007
Ohio,Philadelphia 76ers,2007
Maryland,Phoenix Suns,2007
Wisconsin,Phoenix Suns,2007
North Carolina,Portland Trail Blazers,2007
Ohio,Portland Trail Blazers,2007
New York,Portland Trail Blazers,2007
Florida,Portland Trail Blazers,2007
"University of Virginia, Tennessee",Portland Trail Blazers,2007
Washington,Sacramento Kings,2007
Arizona,San Antonio Spurs,2007
Louisiana,Seattle SuperSonics,2007
Indiana,Seattle SuperSonics,2007
Texas,Seattle SuperSonics,2007
Rice University,Utah Jazz,2007
"California, California, California",Washington Wizards,2007
California,Washington Wizards,2007
"Kansas, University of New Mexico",Boston Celtics,2008
Texas,Charlotte Bobcats,2008
Washington State University,Charlotte Bobcats,2008
Arkansas,Chicago Bulls,2008
Tennessee,Chicago Bulls,2008
North Carolina,Cleveland Cavaliers,2008
Indiana,Detroit Pistons,2008
Louisiana,Golden State Warriors,2008
Midland College,Indiana Pacers,2008
Arizona,Indiana Pacers,2008
Indiana,Los Angeles Clippers,2008
Texas A&M University,Los Angeles Clippers,2008
Kentucky,Los Angeles Lakers,2008
New York,Memphis Grizzlies,2008
"California, Los Angeles",Memphis Grizzlies,2008
Kansas State University,Miami Heat,2008
Kansas,Miami Heat,2008
"California, Los Angeles",Milwaukee Bucks,2008
West Virginia,Milwaukee Bucks,2008
Kansas,Minnesota Timberwolves,2008
California,Minnesota Timberwolves,2008
California,New Jersey Nets,2008
California,New Jersey Nets,2008
Tennessee,New Jersey Nets,2008
Kansas,New Orleans Hornets,2008
Western Kentucky University,Orlando Magic,2008
Florida,Philadelphia 76ers,2008
California,Phoenix Suns,2008
Oregon,Phoenix Suns,2008
Iowa,Portland Trail Blazers,2008
Kansas,Portland Trail Blazers,2008
Tennessee,Portland Trail Blazers,2008
"Indiana, Georgetown University",Sacramento Kings,2008
Rider University,Sacramento Kings,2008
University of Virginia,Sacramento Kings,2008
???,San Antonio Spurs,2008
"Mississippi, Alabama at Birmingham",Seattle SuperSonics,2008
"California, Los Angeles",Seattle SuperSonics,2008
Kansas,Seattle SuperSonics,2008
Georgetown University,Toronto Raptors,2008
Ohio,Utah Jazz,2008
Kansas State University,Washington Wizards,2008
"Nevada, Reno",Washington Wizards,2008
Wake Forest University,Atlanta Hawks,2009
Tennessee at Martin,Boston Celtics,2009
North Carolina,Charlotte Bobcats,2009
Ohio,Charlotte Bobcats,2009
California,Chicago Bulls,2009
Wake Forest University,Chicago Bulls,2009
North Carolina,Cleveland Cavaliers,2009
Ohio,Dallas Mavericks,2009
Georgetown University,Detroit Pistons,2009
Washington,Detroit Pistons,2009
Arizona,Detroit Pistons,2009
Davidson College,Golden State Warriors,2009
Connecticut,Indiana Pacers,2009
North Carolina,Indiana Pacers,2009
Oklahoma,Los Angeles Clippers,2009
"Alabama, Florida",Los Angeles Lakers,2009
Arkansas,Los Angeles Lakers,2009
Connecticut,Memphis Grizzlies,2009
Pennsylvania,Memphis Grizzlies,2009
"Tennessee, University of Missouri",Memphis Grizzlies,2009
Louisiana,Miami Heat,2009
Kentucky,Milwaukee Bucks,2009
New York,Minnesota Timberwolves,2009
Florida,Minnesota Timberwolves,2009
North Carolina,Minnesota Timberwolves,2009
North Carolina,Minnesota Timberwolves,2009
Kentucky,New Jersey Nets,2009
"California, Los Angeles",New Orleans Hornets,2009
Arizona,New York Knicks,2009
Arizona,Oklahoma City Thunder,2009
"California, Los Angeles",Philadelphia 76ers,2009
Kentucky,Phoenix Suns,2009
Oklahoma,Phoenix Suns,2009
Saint Mary's College of California,Portland Trail Blazers,2009
Washington,Portland Trail Blazers,2009
Villanova University,Portland Trail Blazers,2009
Arizona,Sacramento Kings,2009
Tennessee,Sacramento Kings,2009
Pennsylvania,San Antonio Spurs,2009
California,Toronto Raptors,2009
Virginia Commonwealth University,Utah Jazz,2009
University of Central Florida,Washington Wizards,2009
Texas,Atlanta Hawks,2010
University of Notre Dame,Boston Celtics,2010
Texas,Boston Celtics,2010
