Player,Season,Team,Salary,PPG,Height,Weight,PPM
Tariq Abdul-Wahad,2000,Denver Nuggets,1594920,8.93333,198,101,0.35925
Tariq Abdul-Wahad,2001,Denver Nuggets,4500000,3.82759,198,101,0.26429
Tariq Abdul-Wahad,2002,TOT,5062500,5.625,198,101,0.30612
Tariq Abdul-Wahad,2002,Denver Nuggets,5062500,6.75,198,101,0.32374
Tariq Abdul-Wahad,2002,Dallas Mavericks,5062500,0,198,101,0
Tariq Abdul-Wahad,2003,Dallas Mavericks,5625000,4.07143,198,101,0.27941
Taurean Green,2008,TOT,427163,1.58824,183,80,0.36486
Taurean Green,2008,Portland Trail Blazers,427163,2.125,183,80,0.38636
Taurean Green,2008,Denver Nuggets,427163,1.11111,183,80,0.33333
Taylor Griffin,2010,Phoenix Suns,457588,1.25,201,108,0.3125
Tayshaun Prince,2003,Detroit Pistons,903360,3.2619,206,98,0.31494
Tayshaun Prince,2004,Detroit Pistons,971160,10.2561,206,98,0.31137
Tayshaun Prince,2005,Detroit Pistons,1038960,14.70732,206,98,0.39684
Tayshaun Prince,2006,Detroit Pistons,1763115,14.09756,206,98,0.3989
Tayshaun Prince,2007,Detroit Pistons,7851240,14.28049,206,98,0.3902
Tayshaun Prince,2008,Detroit Pistons,8675620,13.17073,206,98,0.40089
Tayshaun Prince,2009,Detroit Pistons,9500000,14.18293,206,98,0.38044
Tayshaun Prince,2010,Detroit Pistons,10324380,13.4898,206,98,0.39724
Tayshaun Prince,2011,Detroit Pistons,11148760,14.07692,206,98,0.42857
Tayshaun Prince,2012,Detroit Pistons,6292135,12.66667,206,98,0.38237
Tayshaun Prince,2013,TOT,6764045,10.39024,206,98,0.32383
Tayshaun Prince,2013,Detroit Pistons,6764045,11.71111,206,98,0.3617
Tayshaun Prince,2013,Memphis Grizzlies,6764045,8.78378,206,98,0.27683
Tayshaun Prince,2014,Memphis Grizzlies,7235955,5.97368,206,98,0.23306
Tayshaun Prince,2015,TOT,7707865,7.48276,206,98,0.31067
Tayshaun Prince,2015,Memphis Grizzlies,7707865,7.30769,206,98,0.30255
Tayshaun Prince,2015,Boston Celtics,7707865,8.44444,206,98,0.38384
Tayshaun Prince,2015,Detroit Pistons,7707865,7.30435,206,98,0.29422
Tayshaun Prince,2016,Minnesota Timberwolves,1499187,2.87013,206,98,0.15116
